mhs	maxsat	label
1.45	1.45	a
1.49	1.41	a
1.77	1.73	a
1.65	1.61	a
3.01	3.05	a
1.65	1.61	a
3.09	3.18	a
1.41	1.41	a
3.05	3.05	a
1.69	1.69	a
1.65	1.65	a
1.65	1.65	a
3.09	3.09	a
1.65	1.61	a
3.05	3.13	a
3.05	3.05	a
1.77	1.69	a
3.13	3.09	a
1.65	1.53	a
3.05	3.09	a
1.69	1.69	a
3.05	3.01	a
1.61	1.57	a
1.61	1.57	a
3.05	3.09	a
1.65	1.57	a
3.14	3.09	a
3.05	3.05	a
3.17	3.17	a
2.05	2.00	a
3.05	3.09	a
1.69	1.69	a
3.09	3.10	a
7.19	6.76	a
3.49	3.49	a
1.39	1.39	a
3.17	3.22	a
4.50	6.47	a
19.67	12.06	a
3.09	3.05	a
8.55	12.48	a
3.33	3.33	a
46.65	46.83	a
65.03	230.84	a
12.04	7.83	a
300.00	300.00	a
1.23	1.19	a
1.19	1.27	a
0.27	0.27	a
3.53	3.49	a
3.21	3.26	a
4.46	6.51	a
2.41	2.50	a
39.35	25.77	a
3.29	3.25	a
20.98	24.93	a
6.74	7.07	a
70.49	76.39	a
36.89	45.85	a
3.05	3.05	a
3.06	3.09	a
2.49	2.33	a
1.57	1.57	a
2.45	2.37	a
2.49	2.37	a
3.09	3.13	a
0.62	0.62	a
3.33	3.25	a
1.57	1.65	a
1.57	1.57	a
1.73	1.77	a
1.57	1.53	a
4.18	4.18	a
3.97	3.94	a
1.69	1.69	a
1.57	1.53	a
3.53	3.61	a
1.61	1.65	a
2.29	2.17	a
1.69	1.65	a
3.13	3.14	a
1.69	1.69	a
3.13	3.17	a
3.79	3.78	a
8.67	8.91	a
6.07	5.70	a
3.57	3.73	a
1.47	1.47	a
3.29	3.29	a
3.05	3.09	a
1.75	1.71	a
1.65	1.65	a
3.09	3.09	a
1.65	1.65	a
2.25	4.26	a
3.41	3.49	a
4.57	4.74	a
1.69	1.65	a
3.25	3.30	a
1.57	1.61	a
1.41	1.33	a
1.45	1.57	a
1.57	1.61	a
3.09	3.06	a
3.09	3.10	a
3.09	3.09	a
1.65	1.69	a
1.69	1.61	a
1.61	1.61	a
1.65	1.65	a
1.61	1.61	a
1.89	1.81	a
1.57	1.61	a
1.65	1.65	a
1.61	1.65	a
1.37	1.37	a
1.37	1.41	a
1.41	1.37	a
1.41	1.41	a
1.33	1.37	a
1.49	1.53	a
1.45	1.49	a
1.53	1.49	a
