kernel,status,clang,opt,bugle,vcgen,cruncher,boogiedriver,total
/datadrive/gpuverify-tests/OpenCL/misc/pass/misc14/kernel.cl,PASS,0.422,0.019,0.006,0.501,0.698,0.625,2.272
/datadrive/gpuverify-tests/OpenCL/misc/pass/misc15/kernel.cl,PASS,0.417,0.014,0.017,0.467,0.578,0.541,2.035
/datadrive/gpuverify-tests/OpenCL/misc/pass/misc19/kernel.cl,PASS,0.424,0.010,0.006,0.381,0.503,0.536,1.861
/datadrive/gpuverify-tests/OpenCL/misc/pass/misc18/kernel.cl,PASS,0.467,0.011,0.006,0.460,0.555,0.577,2.075
/datadrive/gpuverify-tests/OpenCL/misc/pass/misc16/kernel.cl,PASS,0.417,0.009,0.007,0.456,0.579,0.657,2.126
/datadrive/gpuverify-tests/OpenCL/misc/pass/misc17/kernel.cl,PASS,0.418,0.016,0.013,0.499,0.617,0.543,2.106
/datadrive/gpuverify-tests/OpenCL/misc/pass/misc4/kernel.cl,PASS,0.416,0.010,0.005,0.377,0.501,0.456,1.765
/datadrive/gpuverify-tests/OpenCL/misc/pass/misc5/kernel.cl,PASS,0.375,0.010,0.006,0.456,0.495,0.496,1.839
/datadrive/gpuverify-tests/OpenCL/misc/pass/misc6/kernel.cl,PASS,0.381,0.017,0.011,0.537,0.000,1.021,1.968
/datadrive/gpuverify-tests/OpenCL/misc/pass/misc2/kernel.cl,PASS,0.390,0.033,0.015,0.591,0.743,0.536,2.307
/datadrive/gpuverify-tests/OpenCL/misc/pass/misc3/kernel.cl,PASS,0.418,0.016,0.006,0.457,0.745,0.575,2.218
/datadrive/gpuverify-tests/OpenCL/misc/pass/misc7/kernel.cl,PASS,0.381,0.015,0.011,0.469,0.740,0.581,2.198
/datadrive/gpuverify-tests/OpenCL/misc/pass/misc9/kernel.cl,PASS,0.427,0.009,0.009,0.495,0.630,0.540,2.110
/datadrive/gpuverify-tests/OpenCL/misc/pass/misc8/kernel.cl,PASS,0.418,0.009,0.006,0.495,0.739,0.536,2.203
/datadrive/gpuverify-tests/OpenCL/multidimarrays/test1/kernel.cl,PASS,0.378,0.011,0.007,0.415,0.495,0.499,1.807
/datadrive/gpuverify-tests/OpenCL/modifyparam/kernel.cl,PASS,0.427,0.009,0.006,0.379,0.506,0.777,2.104
/datadrive/gpuverify-tests/OpenCL/multidimarrays/test3/kernel.cl,PASS,0.417,0.011,0.008,0.419,0.500,0.501,1.855
/datadrive/gpuverify-tests/OpenCL/multidimarrays/test4/kernel.cl,PASS,0.382,0.016,0.006,0.418,0.540,0.504,1.866
/datadrive/gpuverify-tests/OpenCL/multiplelocals/kernel.cl,PASS,0.376,0.014,0.006,0.381,0.496,0.501,1.774
/datadrive/gpuverify-tests/OpenCL/multidimarrays/test5/kernel.cl,PASS,0.378,0.009,0.004,0.419,0.546,0.538,1.895
/datadrive/gpuverify-tests/OpenCL/multidimarrays/test2/kernel.cl,PASS,0.416,0.012,0.023,0.425,0.576,0.540,1.992
