kernel,status,clang,opt,bugle,vcgen,cruncher,boogiedriver,total
/datadrive/gpuverify-tests/OpenCL/unconstrained_sizes/num_groups/kernel.cl,PASS,0.376,0.009,0.005,0.417,0.507,0.496,1.810
/datadrive/gpuverify-tests/OpenCL/transitiveclosuresimplified/kernel.cl,PASS,0.416,0.016,0.009,0.576,0.896,0.659,2.571
/datadrive/gpuverify-tests/OpenCL/undef_tests/uninitialised_local_int/kernel.cl,FAIL(6),0.457,0.009,0.006,0.375,0.498,0.541,1.884
/datadrive/gpuverify-tests/OpenCL/transitiveclosuresimplified2/kernel.cl,PASS,0.415,0.017,0.006,0.618,0.858,0.703,2.617
/datadrive/gpuverify-tests/OpenCL/undef_tests/uninitialised_local_ptr/kernel.cl,FAIL(6),0.428,0.016,0.006,0.415,0.503,0.543,1.911
/datadrive/gpuverify-tests/OpenCL/unreachable/kernel.cl,FAIL(6),0.375,0.009,0.007,0.428,0.598,0.736,2.153
/datadrive/gpuverify-tests/OpenCL/unusedreturn/kernel.cl,PASS,0.457,0.015,0.004,0.415,0.535,0.498,1.924
/datadrive/gpuverify-tests/OpenCL/vectortests/addressofvector/kernel.cl,PASS,0.424,0.009,0.009,0.415,0.537,0.497,1.890
/datadrive/gpuverify-tests/OpenCL/vectortests/double2simpleaccess/kernel.cl,PASS,0.380,0.009,0.006,0.376,0.496,0.459,1.725
/datadrive/gpuverify-tests/OpenCL/vectortests/double4simpleaccess/kernel.cl,PASS,0.382,0.011,0.005,0.377,0.498,0.455,1.729
/datadrive/gpuverify-tests/OpenCL/vectortests/double8simpleaccess/kernel.cl,PASS,0.415,0.009,0.016,0.340,0.456,0.456,1.692
/datadrive/gpuverify-tests/OpenCL/vectortests/float16simpleaccess/kernel.cl,PASS,0.416,0.009,0.005,0.379,0.501,0.497,1.807
/datadrive/gpuverify-tests/OpenCL/vectortests/float2simpleaccess/kernel.cl,PASS,0.459,0.015,0.006,0.377,0.495,0.459,1.811
/datadrive/gpuverify-tests/OpenCL/vectortests/float4simpleaccess/kernel.cl,PASS,0.375,0.009,0.005,0.381,0.458,0.461,1.688
/datadrive/gpuverify-tests/OpenCL/vectortests/float8simpleaccess/kernel.cl,PASS,0.381,0.011,0.021,0.337,0.497,0.461,1.708
/datadrive/gpuverify-tests/OpenCL/vectortests/int2simpleaccess/kernel.cl,PASS,0.425,0.015,0.011,0.375,0.503,0.415,1.744
/datadrive/gpuverify-tests/OpenCL/vectortests/float4arrayaccess/kernel.cl,PASS,0.420,0.010,0.008,0.500,0.698,0.621,2.257
/datadrive/gpuverify-tests/OpenCL/vectortests/int3load/kernel.cl,PASS,0.425,0.009,0.006,0.416,0.536,0.468,1.859
