kernel,status,clang,opt,bugle,vcgen,cruncher,boogiedriver,total
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_at_most_one/kernel.cu,PASS,0.135,0.009,0.004,0.375,0.502,0.497,1.521
/datadrive/gpuverify-tests/CUDA/always_inline/kernel.cu,PASS,0.148,0.009,0.004,0.375,0.497,0.540,1.573
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_assert/kernel.cu,PASS,0.148,0.009,0.005,0.378,0.539,0.498,1.577
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_assume/kernel.cu,PASS,0.138,0.009,0.005,0.421,0.536,0.498,1.606
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_all/kernel.cu,PASS,0.178,0.010,0.007,0.416,0.496,0.579,1.686
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_axiom/kernel.cu,PASS,0.136,0.009,0.006,0.421,0.576,0.536,1.683
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_contract/kernel.cu,PASS,0.136,0.009,0.006,0.419,0.616,0.496,1.682
/datadrive/gpuverify-tests/Bugged/unnecessary_barrier/kernel.cu,PASS,0.137,0.009,0.005,0.495,0.539,0.539,1.725
/datadrive/gpuverify-tests/Bugged/single_line_race/kernel.cu,FAIL(6),0.135,0.009,0.005,0.455,0.536,0.617,1.758
/datadrive/gpuverify-tests/CUDA/align/kernel.cu,PASS,0.138,0.009,0.006,0.495,0.541,0.587,1.774
/datadrive/gpuverify-tests/Bugged/divergence/kernel.cu,FAIL(6),0.134,0.009,0.004,0.457,0.535,0.658,1.797
/datadrive/gpuverify-tests/Bugged/race/kernel.cu,FAIL(6),0.135,0.009,0.005,0.455,0.539,0.657,1.800
/datadrive/gpuverify-tests/Bugged/multiple_race/kernel.cu,FAIL(6),0.134,0.009,0.005,0.495,0.576,0.661,1.880
/datadrive/gpuverify-tests/Bugged/race_writeread/kernel.cu,FAIL(6),0.134,0.009,0.005,0.495,0.582,0.697,1.922
/datadrive/gpuverify-tests/Bugged/unrepairable/kernel.cu,FAIL(6),0.175,0.009,0.006,0.536,0.624,0.621,1.970
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_distinct/kernel.cu,PASS,0.139,0.009,0.004,0.500,0.779,0.500,1.931
