kernel,status,clang,opt,bugle,instrumentation,vcgen,cruncher,repair,total
/datadrive/gpurepair/Toolchain/testsuite/CUDA/always_inline/kernel.cu,PASS,0.137,0.009,0.006,0.255,0.377,0.496,0.626,1.906
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_all/kernel.cu,PASS,0.143,0.009,0.007,0.256,0.415,0.496,0.618,1.944
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_at_most_one/kernel.cu,PASS,0.136,0.009,0.006,0.255,0.415,0.498,0.618,1.937
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_assume/kernel.cu,PASS,0.140,0.009,0.004,0.257,0.375,0.501,0.661,1.948
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_assert/kernel.cu,PASS,0.136,0.009,0.006,0.297,0.376,0.535,0.626,1.985
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_contract/kernel.cu,PASS,0.137,0.011,0.006,0.259,0.415,0.618,0.656,2.101
/datadrive/gpurepair/Toolchain/testsuite/CUDA/align/kernel.cu,PASS,0.139,0.009,0.005,0.295,0.496,0.535,0.696,2.174
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_axiom/kernel.cu,PASS,0.140,0.022,0.010,0.297,0.456,0.576,0.696,2.197
/datadrive/gpurepair/Toolchain/testsuite/Bugged/unnecessary_barrier/kernel.cu,PASS,0.139,0.009,0.006,0.296,0.537,0.577,0.777,2.341
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_distinct/kernel.cu,PASS,0.175,0.017,0.012,0.257,0.496,0.736,0.634,2.327
/datadrive/gpurepair/Toolchain/testsuite/Bugged/single_line_race/kernel.cu,PASS,0.136,0.009,0.007,0.296,0.496,0.576,0.897,2.417
/datadrive/gpurepair/Toolchain/testsuite/Bugged/race_writeread/kernel.cu,PASS,0.138,0.009,0.005,0.295,0.536,0.576,0.866,2.425
/datadrive/gpurepair/Toolchain/testsuite/Bugged/race/kernel.cu,PASS,0.136,0.009,0.005,0.294,0.536,0.576,0.897,2.453
/datadrive/gpurepair/Toolchain/testsuite/Bugged/divergence/kernel.cu,FAIL(202),0.136,0.009,0.005,0.295,0.495,0.576,1.142,2.659
/datadrive/gpurepair/Toolchain/testsuite/Bugged/multiple_race/kernel.cu,PASS,0.100,0.009,0.006,0.294,0.496,0.576,1.193,2.673
/datadrive/gpurepair/Toolchain/testsuite/Bugged/unrepairable/kernel.cu,FAIL(202),0.137,0.009,0.005,0.335,0.536,0.621,1.058,2.700
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_no_readwrite/kernel.cu,PASS,0.139,0.013,0.008,0.258,0.497,0.617,0.616,2.147
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_for_loop_invariant/kernel.cu,PASS,0.142,0.012,0.006,0.257,0.495,0.622,0.616,2.150
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_enabled_and_uniform/kernel.cu,PASS,0.139,0.023,0.007,0.307,0.500,0.616,0.618,2.209
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_ensures/kernel.cu,PASS,0.147,0.015,0.007,0.271,0.456,0.656,0.666,2.217
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_norace/kernel.cu,PASS,0.144,0.017,0.019,0.299,0.537,0.656,0.676,2.347
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_while_loop_invariant/kernel.cu,PASS,0.142,0.009,0.008,0.257,0.496,0.658,0.616,2.187
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_requires/kernel.cu,PASS,0.137,0.010,0.005,0.300,0.537,0.667,0.656,2.312
/datadrive/gpurepair/Toolchain/testsuite/CUDA/argument_promotion/kernel.cu,PASS,0.148,0.012,0.013,0.306,0.455,0.595,0.710,2.239
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/device_global/kernel.cu,PASS,0.136,0.009,0.005,0.262,0.415,0.536,0.668,2.031
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/add_one/kernel.cu,PASS,0.137,0.009,0.006,0.295,0.459,0.581,0.701,2.188
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/add_zero/kernel.cu,FAIL(202),0.162,0.010,0.004,0.300,0.456,0.583,0.739,2.255
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/pointer_add/kernel.cu,PASS,0.136,0.009,0.006,0.257,0.456,0.578,0.656,2.098
/datadrive/gpurepair/Toolchain/testsuite/CUDA/barrierconditionalkernelparam/kernel.cu,PASS,0.136,0.009,0.005,0.295,0.419,0.536,0.658,2.057
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/add_tid/kernel.cu,FAIL(202),0.143,0.027,0.006,0.294,0.456,0.747,0.784,2.458
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/definitions/kernel.cu,PASS,0.141,0.009,0.005,0.297,0.536,0.897,0.982,2.866
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/test_abstraction_enforced/kernel.cu,FAIL(201),0.136,0.016,0.006,0.298,0.496,0.657,1.223,2.832
/datadrive/gpurepair/Toolchain/testsuite/CUDA/basic1/kernel.cu,PASS,0.138,0.023,0.006,0.258,0.336,0.497,0.577,1.834
/datadrive/gpurepair/Toolchain/testsuite/CUDA/casttofloat/kernel.cu,PASS,0.136,0.010,0.018,0.259,0.335,0.538,0.626,1.921
/datadrive/gpurepair/Toolchain/testsuite/CUDA/basicbarrier/kernel.cu,PASS,0.142,0.009,0.005,0.256,0.457,0.540,0.663,2.073
