kernel,status,clang,opt,bugle,instrumentation,vcgen,cruncher,repair,total
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/transitiveclosuresimplified/kernel.cl,PASS,0.417,0.009,0.005,0.295,0.656,1.340,3.954,6.675
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/vectortests/float4simpleaccess/kernel.cl,PASS,0.417,0.011,0.010,0.255,0.375,0.456,0.617,2.140
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/vectortests/float8simpleaccess/kernel.cl,PASS,0.377,0.009,0.006,0.255,0.335,0.497,0.583,2.061
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/vectortests/int2simpleaccess/kernel.cl,PASS,0.417,0.010,0.007,0.255,0.375,0.496,0.576,2.136
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/vectortests/int3load/kernel.cl,PASS,0.418,0.015,0.006,0.255,0.377,0.579,0.576,2.226
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/vectortests/int3arrayaccess/kernel.cl,PASS,0.416,0.009,0.005,0.297,0.540,0.703,0.864,2.835
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/vectortests/int3store/kernel.cl,PASS,0.378,0.009,0.006,0.259,0.376,0.536,0.621,2.183
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/vectortests/int4initialisation/kernel.cl,PASS,0.417,0.009,0.007,0.256,0.387,0.504,0.583,2.163
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/transitiveclosuresimplified2/kernel.cl,PASS,0.379,0.009,0.009,0.295,0.656,1.219,5.491,8.058
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/vectortests/int_vectors_big_test/kernel.cl,PASS,0.422,0.009,0.006,0.255,0.378,0.541,0.578,2.190
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/vectortests/select/kernel.cl,PASS,0.382,0.010,0.006,0.262,0.417,0.496,0.583,2.155
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/vectortests/vectorops/kernel.cl,PASS,0.386,0.018,0.006,0.255,0.416,0.576,0.620,2.276
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/vectortests/test_paren/kernel.cl,PASS,0.417,0.009,0.005,0.295,0.456,0.626,0.707,2.515
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/vectortests/vectorops2/kernel.cl,PASS,0.378,0.012,0.006,0.265,0.378,0.547,0.618,2.204
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/vectortests/vectorsplat/kernel.cl,PASS,0.417,0.009,0.006,0.264,0.340,0.468,0.576,2.079
/datadrive/gpurepair/Toolchain/testsuite/OpenCL/vectortests/vectorreturn/kernel.cl,PASS,0.381,0.014,0.009,0.298,0.416,0.576,0.620,2.314
