kernel,status,clang,opt,bugle,instrumentation,vcgen,cruncher,repair,total
/datadrive/gpurepair/Toolchain/testsuite/CUDA/always_inline/kernel.cu,PASS,0.143,0.009,0.006,0.255,0.375,0.536,0.620,1.944
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_all/kernel.cu,PASS,0.157,0.010,0.006,0.255,0.375,0.536,0.616,1.955
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_assume/kernel.cu,PASS,0.166,0.013,0.007,0.255,0.378,0.535,0.616,1.969
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_assert/kernel.cu,PASS,0.139,0.009,0.004,0.296,0.375,0.535,0.660,2.019
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_contract/kernel.cu,PASS,0.137,0.010,0.008,0.259,0.415,0.629,0.617,2.076
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_at_most_one/kernel.cu,PASS,0.139,0.009,0.005,0.256,0.376,0.698,0.618,2.102
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_axiom/kernel.cu,PASS,0.138,0.009,0.007,0.294,0.456,0.578,0.669,2.152
/datadrive/gpurepair/Toolchain/testsuite/CUDA/align/kernel.cu,PASS,0.137,0.009,0.005,0.297,0.496,0.578,0.698,2.219
/datadrive/gpurepair/Toolchain/testsuite/Bugged/unnecessary_barrier/kernel.cu,PASS,0.138,0.009,0.005,0.295,0.495,0.615,0.754,2.312
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_distinct/kernel.cu,PASS,0.140,0.009,0.006,0.296,0.535,0.741,0.616,2.343
/datadrive/gpurepair/Toolchain/testsuite/Bugged/race_writeread/kernel.cu,PASS,0.139,0.009,0.005,0.294,0.495,0.575,0.907,2.426
/datadrive/gpurepair/Toolchain/testsuite/Bugged/race/kernel.cu,PASS,0.138,0.009,0.005,0.294,0.495,0.576,0.937,2.454
/datadrive/gpurepair/Toolchain/testsuite/Bugged/single_line_race/kernel.cu,PASS,0.141,0.009,0.005,0.295,0.535,0.576,0.939,2.501
/datadrive/gpurepair/Toolchain/testsuite/Bugged/divergence/kernel.cu,FAIL(202),0.136,0.009,0.005,0.294,0.496,0.579,1.137,2.656
/datadrive/gpurepair/Toolchain/testsuite/Bugged/unrepairable/kernel.cu,FAIL(202),0.136,0.009,0.005,0.297,0.500,0.616,1.115,2.678
/datadrive/gpurepair/Toolchain/testsuite/Bugged/multiple_race/kernel.cu,PASS,0.137,0.008,0.005,0.294,0.495,0.618,1.138,2.696
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_enabled_and_uniform/kernel.cu,PASS,0.148,0.014,0.012,0.258,0.497,0.618,0.617,2.165
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_ensures/kernel.cu,PASS,0.153,0.011,0.019,0.295,0.465,0.657,0.662,2.262
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_for_loop_invariant/kernel.cu,PASS,0.147,0.021,0.006,0.264,0.496,0.660,0.660,2.254
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_no_readwrite/kernel.cu,PASS,0.136,0.010,0.011,0.313,0.543,0.621,0.662,2.296
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_norace/kernel.cu,PASS,0.144,0.009,0.005,0.259,0.539,0.657,0.629,2.243
/datadrive/gpurepair/Toolchain/testsuite/CUDA/argument_promotion/kernel.cu,PASS,0.138,0.011,0.005,0.298,0.458,0.576,0.666,2.152
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_requires/kernel.cu,PASS,0.139,0.022,0.006,0.295,0.498,0.657,0.626,2.243
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_while_loop_invariant/kernel.cu,PASS,0.142,0.012,0.005,0.258,0.496,0.664,0.617,2.195
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/add_one/kernel.cu,PASS,0.141,0.017,0.015,0.297,0.456,0.586,0.709,2.222
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/device_global/kernel.cu,PASS,0.138,0.026,0.006,0.295,0.430,0.552,0.656,2.103
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/add_tid/kernel.cu,FAIL(202),0.143,0.014,0.005,0.297,0.455,0.578,0.786,2.280
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/add_zero/kernel.cu,FAIL(202),0.137,0.016,0.006,0.295,0.457,0.581,0.750,2.240
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/pointer_add/kernel.cu,PASS,0.136,0.009,0.006,0.255,0.455,0.544,0.699,2.104
/datadrive/gpurepair/Toolchain/testsuite/CUDA/barrierconditionalkernelparam/kernel.cu,PASS,0.138,0.007,0.005,0.259,0.419,0.535,0.705,2.068
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/definitions/kernel.cu,PASS,0.139,0.015,0.009,0.295,0.579,0.901,0.986,2.924
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/test_abstraction_enforced/kernel.cu,FAIL(201),0.138,0.009,0.005,0.294,0.495,0.590,1.222,2.753
/datadrive/gpurepair/Toolchain/testsuite/CUDA/basic1/kernel.cu,PASS,0.152,0.009,0.005,0.258,0.377,0.495,0.585,1.881
