kernel,status,clang,opt,bugle,instrumentation,vcgen,cruncher,repair,total
/datadrive/gpurepair/tests/testsuite/CUDA/always_inline/kernel.cu,PASS,0.139,0.009,0.006,0.263,0.415,0.539,0.616,1.986
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_all/kernel.cu,PASS,0.136,0.013,0.005,0.254,0.415,0.500,0.664,1.988
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_assert/kernel.cu,PASS,0.136,0.009,0.006,0.254,0.415,0.536,0.662,2.019
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_at_most_one/kernel.cu,PASS,0.139,0.010,0.006,0.255,0.415,0.540,0.666,2.030
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_assume/kernel.cu,PASS,0.135,0.009,0.008,0.255,0.415,0.576,0.660,2.058
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_contract/kernel.cu,PASS,0.146,0.016,0.005,0.296,0.419,0.626,0.618,2.126
/datadrive/gpurepair/tests/testsuite/CUDA/align/kernel.cu,PASS,0.137,0.009,0.006,0.262,0.535,0.576,0.696,2.222
/datadrive/gpurepair/tests/testsuite/Bugged/unnecessary_barrier/kernel.cu,PASS,0.135,0.009,0.005,0.296,0.497,0.576,0.740,2.257
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_axiom/kernel.cu,PASS,0.160,0.009,0.006,0.300,0.466,0.616,0.696,2.252
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_distinct/kernel.cu,PASS,0.154,0.010,0.012,0.261,0.496,0.739,0.656,2.327
/datadrive/gpurepair/tests/testsuite/Bugged/single_line_race/kernel.cu,PASS,0.135,0.008,0.005,0.295,0.497,0.581,0.857,2.379
/datadrive/gpurepair/tests/testsuite/Bugged/race_writeread/kernel.cu,PASS,0.134,0.009,0.005,0.294,0.543,0.585,0.897,2.468
/datadrive/gpurepair/tests/testsuite/Bugged/divergence/kernel.cu,FAIL(202),0.134,0.015,0.005,0.295,0.501,0.616,1.019,2.585
/datadrive/gpurepair/tests/testsuite/Bugged/race/kernel.cu,PASS,0.134,0.009,0.004,0.295,0.544,0.702,0.899,2.586
/datadrive/gpurepair/tests/testsuite/Bugged/unrepairable/kernel.cu,FAIL(202),0.137,0.010,0.006,0.337,0.495,0.586,1.027,2.599
/datadrive/gpurepair/tests/testsuite/Bugged/multiple_race/kernel.cu,PASS,0.134,0.008,0.005,0.295,0.581,0.616,1.225,2.865
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_enabled_and_uniform/kernel.cu,PASS,0.142,0.012,0.010,0.260,0.499,0.618,0.656,2.197
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_ensures/kernel.cu,PASS,0.137,0.009,0.006,0.301,0.456,0.659,0.668,2.236
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_for_loop_invariant/kernel.cu,PASS,0.176,0.030,0.010,0.282,0.495,0.616,0.664,2.275
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_norace/kernel.cu,PASS,0.138,0.016,0.020,0.297,0.541,0.660,0.618,2.290
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_no_readwrite/kernel.cu,PASS,0.135,0.010,0.009,0.295,0.537,0.656,0.667,2.309
/datadrive/gpurepair/tests/testsuite/CUDA/argument_promotion/kernel.cu,PASS,0.143,0.009,0.010,0.303,0.455,0.580,0.701,2.202
