kernel,status,clang,opt,bugle,instrumentation,vcgen,cruncher,repair,total
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_all/kernel.cu,PASS,0.134,0.016,0.005,0.255,0.415,0.496,0.628,1.950
/datadrive/gpurepair/tests/testsuite/CUDA/always_inline/kernel.cu,PASS,0.170,0.009,0.006,0.254,0.380,0.496,0.661,1.976
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_assert/kernel.cu,PASS,0.139,0.009,0.006,0.295,0.377,0.536,0.656,2.018
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_at_most_one/kernel.cu,PASS,0.135,0.009,0.005,0.255,0.415,0.540,0.656,2.015
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_assume/kernel.cu,PASS,0.190,0.017,0.005,0.256,0.417,0.536,0.656,2.077
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_contract/kernel.cu,PASS,0.134,0.010,0.005,0.255,0.417,0.620,0.669,2.111
/datadrive/gpurepair/tests/testsuite/CUDA/align/kernel.cu,PASS,0.138,0.009,0.004,0.296,0.504,0.576,0.739,2.265
/datadrive/gpurepair/tests/testsuite/Bugged/unnecessary_barrier/kernel.cu,PASS,0.135,0.009,0.005,0.295,0.495,0.578,0.786,2.304
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_axiom/kernel.cu,PASS,0.134,0.009,0.006,0.295,0.456,0.656,0.742,2.298
/datadrive/gpurepair/tests/testsuite/CUDA/annotation_tests/test_distinct/kernel.cu,PASS,0.137,0.009,0.006,0.256,0.496,0.785,0.659,2.348
/datadrive/gpurepair/tests/testsuite/Bugged/race_writeread/kernel.cu,PASS,0.134,0.009,0.006,0.295,0.496,0.577,0.900,2.416
/datadrive/gpurepair/tests/testsuite/Bugged/single_line_race/kernel.cu,PASS,0.143,0.010,0.006,0.295,0.495,0.616,0.906,2.471
/datadrive/gpurepair/tests/testsuite/Bugged/race/kernel.cu,PASS,0.135,0.009,0.006,0.295,0.495,0.617,0.939,2.495
/datadrive/gpurepair/tests/testsuite/Bugged/unrepairable/kernel.cu,FAIL(202),0.134,0.009,0.006,0.295,0.495,0.582,0.994,2.516
/datadrive/gpurepair/tests/testsuite/Bugged/divergence/kernel.cu,FAIL(202),0.134,0.009,0.005,0.295,0.544,0.616,1.059,2.663
