kernel,status,clang,opt,bugle,instrumentation,vcgen,cruncher,repair,total
/datadrive/gpurepair/tests/testsuite/OpenCL/atomics/refined_atomic_abstraction/many_accesses/kernel.cl,PASS,0.420,0.009,0.005,0.335,0.576,0.897,1.259,3.501
/datadrive/gpurepair/tests/testsuite/OpenCL/barrier_intervals/test1/kernel.cl,PASS,0.415,0.016,0.006,0.296,0.537,0.657,0.857,2.784
/datadrive/gpurepair/tests/testsuite/OpenCL/atomics/refined_atomic_abstraction/predication/kernel.cl,FAIL(202),0.420,0.009,0.029,0.306,0.576,0.628,0.993,2.962
/datadrive/gpurepair/tests/testsuite/OpenCL/barrier_intervals/test2/kernel.cl,PASS,0.415,0.010,0.009,0.295,0.496,0.706,0.981,2.911
/datadrive/gpurepair/tests/testsuite/CUDA/warpsync/intragroup_scan/kernel.cu,PASS,0.135,0.026,0.005,0.335,0.737,1.177,99.497,101.913
/datadrive/gpurepair/tests/testsuite/CUDASamples/3_Imaging_stereoDisparity_stereoDisparity/kernel.cu,FAIL(6),0.138,0.022,0.008,0.336,1.179,96.516,0.000,98.198
/datadrive/gpurepair/tests/testsuite/OpenCL/barrier_invariants/all_different_loop/kernel.cl,FAIL(6),0.470,0.015,0.007,0.337,0.621,1.138,0.000,2.589
/datadrive/gpurepair/tests/testsuite/OpenCL/barrier_invariants/conditional_barrier_invariant/kernel.cl,PASS,0.424,0.009,0.005,0.344,0.539,0.635,1.516,3.472
/datadrive/gpurepair/tests/testsuite/OpenCL/barrier_invariants/global_array/kernel.cl,PASS,0.419,0.022,0.006,0.296,0.536,0.585,0.793,2.657
/datadrive/gpurepair/tests/testsuite/OpenCL/barrier_invariants/fail/kernel.cl,FAIL(201),0.455,0.019,0.010,0.295,0.497,0.656,1.019,2.951
/datadrive/gpurepair/tests/testsuite/OpenCL/barrier_invariants/ghost_array/kernel.cl,FAIL(6),0.423,0.016,0.033,0.322,0.661,1.386,0.000,2.840
/datadrive/gpurepair/tests/testsuite/OpenCL/barrier_invariants/no_access_check/kernel.cl,PASS,0.457,0.016,0.010,0.349,0.553,0.662,0.782,2.828
/datadrive/gpurepair/tests/testsuite/OpenCL/barrier_invariants/jeroen_bug/kernel.cl,FAIL(201),0.419,0.018,0.007,0.300,0.502,0.697,1.141,3.084
/datadrive/gpurepair/tests/testsuite/OpenCL/barrier_invariants/add_zero/kernel.cl,PASS,0.418,0.017,0.018,0.335,0.536,0.656,4.617,6.597
/datadrive/gpurepair/tests/testsuite/OpenCL/barrier_invariants/all_different/kernel.cl,PASS,0.423,0.012,0.006,0.335,0.576,0.786,4.441,6.578
/datadrive/gpurepair/tests/testsuite/OpenCL/barrier_invariants/tid_barrier_invariant/kernel.cl,PASS,0.416,0.020,0.011,0.307,0.500,0.617,0.736,2.606
/datadrive/gpurepair/tests/testsuite/OpenCL/barrier_intervals/test3/kernel.cl,PASS,0.415,0.016,0.022,0.336,0.699,1.663,4.757,7.908
/datadrive/gpurepair/tests/testsuite/OpenCL/barrier_invariants/wrap_around/kernel.cl,PASS,0.421,0.018,0.007,0.299,0.506,0.616,1.178,3.045
/datadrive/gpurepair/tests/testsuite/OpenCL/basic1/kernel.cl,PASS,0.420,0.009,0.006,0.255,0.375,0.558,0.662,2.284
/datadrive/gpurepair/tests/testsuite/OpenCL/barrierconditionalkernelparam/kernel.cl,PASS,0.467,0.015,0.006,0.303,0.455,0.576,0.713,2.537
/datadrive/gpurepair/tests/testsuite/CUDASamples/6_Advanced_shfl_scan_shfl_scan_test/kernel.cu,PASS,0.135,0.015,0.006,0.335,0.736,6.450,79.002,86.679
/datadrive/gpurepair/tests/testsuite/OpenCL/basicbarrier/kernel.cl,PASS,0.415,0.027,0.009,0.298,0.502,0.536,0.722,2.508
/datadrive/gpurepair/tests/testsuite/OpenCL/basicglobalarray/kernel.cl,PASS,0.417,0.028,0.005,0.295,0.538,0.616,0.696,2.594
/datadrive/gpurepair/tests/testsuite/OpenCL/barrier_invariants/ternary/kernel.cl,PASS,0.416,0.017,0.022,0.401,0.580,0.697,4.518,6.651
/datadrive/gpurepair/tests/testsuite/OpenCL/barrier_invariants/test_all_unary_high/kernel.cl,PASS,0.460,0.014,0.009,0.358,0.576,0.826,3.547,5.789
/datadrive/gpurepair/tests/testsuite/OpenCL/benign_race_tests/fail/writeafterread_addition/kernel.cl,PASS,0.465,0.026,0.014,0.295,0.496,0.630,1.060,2.987
/datadrive/gpurepair/tests/testsuite/OpenCL/benign_race_tests/fail/writewritearray_adversarial/kernel.cl,FAIL(202),0.382,0.016,0.011,0.295,0.461,0.582,0.696,2.441
/datadrive/gpurepair/tests/testsuite/OpenCL/benign_race_tests/fail/writetiddiv64_offbyone/kernel.cl,FAIL(202),0.416,0.016,0.015,0.301,0.459,0.577,0.746,2.529
/datadrive/gpurepair/tests/testsuite/OpenCL/benign_race_tests/fail/writeafterread_otherval/kernel.cl,PASS,0.459,0.027,0.014,0.309,0.501,0.673,0.982,2.966
/datadrive/gpurepair/tests/testsuite/OpenCL/benign_race_tests/fail/writereadarray_equality/kernel.cl,PASS,0.416,0.035,0.011,0.295,0.495,0.628,0.929,2.809
/datadrive/gpurepair/tests/testsuite/OpenCL/benign_race_tests/fail/writezero_nobenign/kernel.cl,FAIL(202),0.455,0.016,0.009,0.304,0.496,0.666,0.699,2.645
/datadrive/gpurepair/tests/testsuite/OpenCL/benign_race_tests/pass/readafterwrite/kernel.cl,PASS,0.423,0.028,0.006,0.295,0.500,0.658,0.817,2.726
/datadrive/gpurepair/tests/testsuite/OpenCL/barrier_invariants/test_all_unary_low/kernel.cl,PASS,0.430,0.032,0.043,0.376,0.577,0.859,5.852,8.170
/datadrive/gpurepair/tests/testsuite/OpenCL/benign_race_tests/pass/writeafterread/kernel.cl,PASS,0.503,0.016,0.023,0.301,0.457,0.616,0.776,2.693
/datadrive/gpurepair/tests/testsuite/OpenCL/bitand/kernel.cl,PASS,0.416,0.011,0.005,0.255,0.375,0.576,0.622,2.262
/datadrive/gpurepair/tests/testsuite/OpenCL/benign_race_tests/pass/writetiddiv64/kernel.cl,PASS,0.417,0.010,0.009,0.295,0.455,0.582,0.736,2.505
/datadrive/gpurepair/tests/testsuite/OpenCL/bitnot/kernel.cl,PASS,0.415,0.015,0.008,0.255,0.376,0.497,0.624,2.190
/datadrive/gpurepair/tests/testsuite/OpenCL/bitor/kernel.cl,PASS,0.416,0.013,0.006,0.257,0.376,0.544,0.624,2.236
/datadrive/gpurepair/tests/testsuite/OpenCL/benign_race_tests/pass/writezero/kernel.cl,PASS,0.434,0.018,0.009,0.296,0.455,0.617,0.741,2.571
/datadrive/gpurepair/tests/testsuite/OpenCL/benign_race_tests/pass/writewritearray/kernel.cl,PASS,0.418,0.009,0.005,0.295,0.497,0.617,0.758,2.599
/datadrive/gpurepair/tests/testsuite/OpenCL/benign_race_tests/pass/writeinloop/kernel.cl,PASS,0.429,0.015,0.008,0.304,0.617,0.784,0.777,2.934
/datadrive/gpurepair/tests/testsuite/OpenCL/bitxor/kernel.cl,PASS,0.416,0.015,0.009,0.255,0.376,0.496,0.631,2.199
/datadrive/gpurepair/tests/testsuite/OpenCL/checkarrays/fail/arraydoesnotexist1/kernel.cl,FAIL(5),0.415,0.016,0.006,0.255,0.216,0.000,0.000,0.908
/datadrive/gpurepair/tests/testsuite/OpenCL/checkarrays/fail/arraydoesnotexist2/kernel.cl,FAIL(5),0.415,0.010,0.006,0.256,0.218,0.000,0.000,0.905
/datadrive/gpurepair/tests/testsuite/OpenCL/bool_bv_test/kernel.cl,PASS,0.417,0.013,0.006,0.263,0.376,0.456,0.618,2.150
/datadrive/gpurepair/tests/testsuite/OpenCL/bpl_integration/pass/kernel.cl,PASS,0.381,0.009,0.006,0.254,0.384,0.537,0.621,2.191
/datadrive/gpurepair/tests/testsuite/OpenCL/casttofloat/kernel.cl,PASS,0.387,0.015,0.009,0.256,0.377,0.496,0.621,2.161
/datadrive/gpurepair/tests/testsuite/OpenCL/booleanTests/kernel.cl,PASS,0.416,0.016,0.008,0.295,0.496,0.535,0.659,2.426
/datadrive/gpurepair/tests/testsuite/OpenCL/break_test/kernel.cl,PASS,0.417,0.020,0.007,0.297,0.460,0.536,0.657,2.394
/datadrive/gpurepair/tests/testsuite/OpenCL/conditional_int_test/kernel.cl,PASS,0.415,0.017,0.013,0.260,0.428,0.502,0.656,2.292
